tag_from,tag_to,bump,commits,days_span,freq_per_day,authors,ins_tot,del_tot,files_tot,avg_ins,avg_del,avg_files,avg_msg_len
2.0,v0.10.0,major,0,0,0,0,0,0,0,0,0,0,0
v0.10.0,v0.10.1,patch,33,1,33.00,1,1444,821,78,43.8,24.9,2.4,11.4
v0.10.1,v0.10.2,patch,55,23,2.39,5,1503,1302,79,27.3,23.7,1.4,34.6
v0.10.2,v0.10.3,patch,19,3,6.33,3,138,148,26,7.3,7.8,1.4,22.0
v0.10.3,v0.10.4,patch,2,0,2.00,1,50,6,6,25.0,3.0,3.0,20.0
v0.10.4,v0.10.5,patch,10,2,5.00,1,72,14,14,7.2,1.4,1.4,27.0
v0.10.5,v0.10.6,patch,7,0,7.00,1,80,31,11,11.4,4.4,1.6,26.3
v0.10.6,v0.10.7,patch,14,10,1.40,1,49,17,23,3.5,1.2,1.6,22.7
v0.10.7,v0.10.8,patch,14,1,14.00,2,180,66,25,12.9,4.7,1.8,32.4
v0.10.8,v0.11.1,minor,14,8,1.75,2,340,236,35,24.3,16.9,2.5,42.1
