Tag,Date,Commit_Author,Type,#LoC,#Files,Function_Count,Async_Function_Count,Class_Count,Entropy,Dependencies_Count,SAST_findings_count,SAST_findings_high_count,SAST_findings_high,SAST_findings_medium_count,SAST_findings_medium,SAST_findings_low_count,SAST_findings_low
0.1,2014-01-08 15:02:56,Alex Gaynor,initial,2327,25,44,0,12,5.1629014429618385,18,1,1,exec,0,,0,
0.2,2014-02-20 13:22:51,Paul Kehrer,minor,3170,29,53,0,14,5.060463972623736,20,1,1,exec,0,,0,
0.2.1,2014-02-22 12:55:41,Alex Gaynor,patch,3174,29,53,0,14,5.0614112446361075,20,1,1,exec,0,,0,
0.2.2,2014-03-03 15:16:51,Alex Gaynor,patch,3180,29,53,0,14,5.0622629729944775,20,1,1,exec,0,,0,
0.3,2014-03-27 13:01:26,Alex Gaynor,minor,4071,33,67,0,17,5.095026543704142,23,2,2,exec,0,,0,
0.4,2014-05-03 15:13:41,Alex Stapleton,minor,5360,33,77,0,18,5.034397082618485,25,2,2,exec,0,,0,
0.5,2014-07-07 10:47:32,David Reid,minor,5524,33,77,0,18,5.05006908379433,25,2,2,exec,0,,0,
0.5.1,2014-07-07 20:00:10,Alex Gaynor,patch,5525,33,77,0,18,5.050568433713234,25,2,2,exec,0,,0,
0.5.2,2014-07-09 17:50:02,Alex Gaynor,patch,5525,33,77,0,18,5.050569234840579,25,2,2,exec,0,,0,
0.5.3,2014-08-07 00:07:46,Alex Gaynor,patch,5523,33,77,0,18,5.0506466704475494,25,2,2,exec,0,,0,
0.5.4,2014-08-20 20:26:03,Alex Gaynor,patch,5525,33,77,0,18,5.050768963648776,25,2,2,exec,0,,0,
0.6,2014-09-29 19:17:41,Alex Gaynor,minor,6040,33,79,0,18,5.025180819702951,25,2,2,exec,0,,0,
0.6.1,2014-10-15 19:30:57,Alex Gaynor,patch,6243,34,79,0,18,5.0303499514039896,25,2,2,exec,0,,0,
0.7,2014-12-17 19:25:38,Alex Gaynor,minor,6368,34,97,0,16,5.024870227937995,25,2,2,exec,0,,0,
0.7.1,2014-12-28 16:51:42,Alex Gaynor,patch,6368,34,97,0,16,5.024870227937995,25,2,2,exec,0,,0,
0.7.2,2015-01-16 09:14:08,Alex Gaynor,patch,6368,34,97,0,16,5.024870227937995,25,2,2,exec,0,,0,
