Tag,Date,Commit_Author,Type,#LoC,#Files,Function_Count,Async_Function_Count,Class_Count,Entropy,Dependencies_Count,SAST_findings_count,SAST_findings_high_count,SAST_findings_high,SAST_findings_medium_count,SAST_findings_medium,SAST_findings_low_count,SAST_findings_low
0.1,2014-01-08 15:02:56,Alex Gaynor,initial,1330,12,44,0,12,5.059861212541047,18,1,1,exec,0,,0,
0.2,2014-02-20 13:22:51,Paul Kehrer,minor,2105,12,53,0,14,4.8779463173717446,20,1,1,exec,0,,0,
0.2.1,2014-02-22 12:55:41,Alex Gaynor,patch,2105,12,53,0,14,4.877991638385413,20,1,1,exec,0,,0,
0.2.2,2014-03-03 15:16:51,Alex Gaynor,patch,2105,12,53,0,14,4.877992838890351,20,1,1,exec,0,,0,
0.3,2014-03-27 13:01:26,Alex Gaynor,minor,2965,13,67,0,17,4.934806065835409,23,2,2,exec,0,,0,
0.4,2014-05-03 15:13:41,Alex Stapleton,minor,4200,13,77,0,18,4.863113870926468,25,2,2,exec,0,,0,
0.5,2014-07-07 10:47:32,David Reid,minor,4201,13,77,0,18,4.865876396171473,25,2,2,exec,0,,0,
0.5.1,2014-07-07 20:00:10,Alex Gaynor,patch,4202,13,77,0,18,4.866632895338549,25,2,2,exec,0,,0,
0.5.2,2014-07-09 17:50:02,Alex Gaynor,patch,4202,13,77,0,18,4.866633828989091,25,2,2,exec,0,,0,
0.5.3,2014-08-07 00:07:46,Alex Gaynor,patch,4202,13,77,0,18,4.866633931433414,25,2,2,exec,0,,0,
0.5.4,2014-08-20 20:26:03,Alex Gaynor,patch,4202,13,77,0,18,4.8666340730392745,25,2,2,exec,0,,0,
0.6,2014-09-29 19:17:41,Alex Gaynor,minor,4716,13,79,0,18,4.841770482547786,25,2,2,exec,0,,0,
0.6.1,2014-10-15 19:30:57,Alex Gaynor,patch,4716,13,79,0,18,4.84178578250271,25,2,2,exec,0,,0,
0.7,2014-12-17 19:25:38,Alex Gaynor,minor,4620,10,97,0,16,4.780306705502483,25,2,2,exec,0,,0,
0.7.1,2014-12-28 16:51:42,Alex Gaynor,patch,4620,10,97,0,16,4.780306705502483,25,2,2,exec,0,,0,
0.7.2,2015-01-16 09:14:08,Alex Gaynor,patch,4620,10,97,0,16,4.780306705502483,25,2,2,exec,0,,0,
0.8,2015-03-09 00:29:22,Alex Gaynor,minor,4926,11,113,0,20,4.829270526865536,27,2,2,exec,0,,0,
0.8.1,2015-03-20 15:21:52,Alex Stapleton,patch,4926,11,113,0,20,4.829270526865536,27,2,2,exec,0,,0,
0.8.2,2015-04-10 21:45:29,Alex Gaynor,patch,4926,11,113,0,20,4.829270526865536,27,2,2,exec,0,,0,
0.9,2015-05-13 21:30:25,Alex Gaynor,minor,7695,12,272,0,49,4.885409607518444,28,2,2,exec,0,,0,
0.9.1,2015-06-06 17:20:32,Alex Gaynor,patch,7695,12,272,0,49,4.885409607518444,28,2,2,exec,0,,0,
0.9.2,2015-07-03 18:44:05,Alex Gaynor,patch,7695,12,272,0,49,4.885409607518444,28,2,2,exec,0,,0,
0.9.3,2015-07-09 10:40:48,Alex Gaynor,patch,7695,12,272,0,49,4.885409607518444,28,2,2,exec,0,,0,
1.0,2015-08-12 09:30:55,Alex Gaynor,major,10331,12,413,0,66,4.917735131818789,28,2,2,exec,0,,0,
1.0.1,2015-09-05 20:12:10,Alex Gaynor,patch,10331,12,413,0,66,4.917735131818789,28,2,2,exec,0,,0,
1.0.2,2015-09-27 08:41:09,Alex Gaynor,patch,10331,12,413,0,66,4.917735131818789,28,2,2,exec,0,,0,
1.1,2015-10-28 18:15:23,Alex Gaynor,minor,10982,12,442,0,69,4.916473968696921,31,2,2,exec,0,,0,
1.1.1,2015-11-18 22:39:23,Alex Gaynor,patch,10982,12,442,0,69,4.916473968696921,31,2,2,exec,0,,0,
1.1.2,2015-12-10 14:47:44,Alex Gaynor,patch,10982,12,442,0,69,4.916473968696921,31,2,2,exec,0,,0,
1.2,2016-01-08 10:24:13,Alex Gaynor,minor,12524,14,549,0,78,4.919240373484752,31,2,2,exec,0,,0,
1.2.1,2016-01-08 15:57:39,Alex Gaynor,patch,12524,14,549,0,78,4.919240373484752,31,2,2,exec,0,,0,
1.2.2,2016-01-29 14:20:27,Alex Gaynor,patch,12524,14,549,0,78,4.919240373484752,31,2,2,exec,0,,0,
1.2.3,2016-03-01 21:02:30,Alex Gaynor,patch,12524,14,549,0,78,4.919240373484752,31,2,2,exec,0,,0,
1.3,2016-03-18 09:08:02,Alex Gaynor,minor,12704,15,567,0,85,4.918288379609482,31,2,2,exec,0,,0,
1.3.1,2016-03-21 14:55:31,Alex Gaynor,patch,12745,15,568,0,85,4.917956849636763,31,2,2,exec,0,,0,
1.3.2,2016-05-04 11:56:59,Paul Kehrer,patch,12745,15,568,0,85,4.917956849636763,31,2,2,exec,0,,0,
1.3.3,2016-06-02 14:42:13,Paul Kehrer,patch,12745,15,568,0,85,4.917956849636763,31,2,2,exec,0,,0,
1.3.4,2016-06-02 19:37:55,Paul Kehrer,patch,12745,15,568,0,85,4.917956849636763,31,2,2,exec,0,,0,
1.4,2016-06-04 09:57:11,Paul Kehrer,minor,12905,15,573,0,85,4.921010252286917,31,2,2,exec,0,,0,
1.5,2016-08-26 10:59:49,Paul Kehrer,minor,13223,15,599,0,85,4.923044589013218,32,2,2,exec,0,,0,
1.5.1,2016-09-22 15:52:14,Paul Kehrer,patch,13223,15,599,0,85,4.923044589013218,32,2,2,exec,0,,0,
1.5.2,2016-09-26 16:22:03,Paul Kehrer,patch,13223,15,599,0,85,4.923044589013218,32,2,2,exec,0,,0,
1.5.3,2016-11-05 23:56:41,Paul Kehrer,patch,13223,15,599,0,85,4.923044589013218,32,2,2,exec,0,,0,
1.6,2016-11-21 21:50:28,Paul Kehrer,minor,13419,15,616,0,90,4.9245841581906715,32,2,2,exec,0,,0,
1.7,2016-12-12 13:06:09,Paul Kehrer,minor,13449,15,617,0,90,4.924808214826549,32,2,2,exec,0,,0,
1.7.1,2016-12-13 16:04:55,Paul Kehrer,patch,13460,16,618,0,90,4.925145197755146,32,2,2,exec,0,,0,
1.7.2,2017-01-27 09:05:39,Paul Kehrer,patch,13460,16,618,0,90,4.925145197755146,32,2,2,exec,0,,0,
1.8,2017-03-09 21:43:42,Paul Kehrer,minor,13437,16,618,0,90,4.923774673556418,31,2,2,exec,0,,0,
1.8.1,2017-03-09 22:58:42,Paul Kehrer,patch,13437,16,618,0,90,4.923774673556418,31,2,2,exec,0,,0,
1.8.2,2017-05-26 02:26:45,Paul Kehrer,patch,13437,16,618,0,90,4.923774673556418,31,2,2,exec,0,,0,
1.9,2017-05-29 22:10:46,Paul Kehrer,minor,13387,16,613,0,90,4.925414952443862,31,2,2,exec,0,,0,
2.0,2017-07-17 10:38:15,Paul Kehrer,major,13954,16,630,0,93,4.9224254424192875,31,2,2,exec,0,,0,
2.0.1,2017-07-26 16:14:44,Paul Kehrer,patch,13954,16,630,0,93,4.9224254424192875,31,2,2,exec,0,,0,
2.0.2,2017-07-26 23:09:35,Paul Kehrer,patch,13954,16,630,0,93,4.9224254424192875,31,2,2,exec,0,,0,
2.0.3,2017-08-03 17:47:21,Paul Kehrer,patch,13954,16,630,0,93,4.9224254424192875,31,2,2,exec,0,,0,
2.1,2017-10-11 08:31:09,Paul Kehrer,minor,5497,12,96,0,25,4.791115027618861,27,2,2,exec,0,,0,
2.1.1,2017-10-12 12:38:11,Alex Gaynor,patch,5500,12,96,0,25,4.791458676635235,27,2,2,exec,0,,0,
2.1.2,2017-10-24 10:32:21,Alex Gaynor,patch,5500,12,96,0,25,4.791458676635235,27,2,2,exec,0,,0,
2.1.3,2017-11-02 13:57:52,Paul Kehrer,patch,5500,12,96,0,25,4.791458676635235,27,2,2,exec,0,,0,
2.1.4,2017-11-29 08:20:48,Paul Kehrer,patch,5500,12,96,0,25,4.791458676635235,27,2,2,exec,0,,0,
2.2,2018-03-18 22:45:30,Paul Kehrer,minor,5486,12,100,0,25,4.793675591040567,27,2,2,exec,0,,0,
2.2.1,2018-03-20 19:17:50,Paul Kehrer,patch,5486,12,100,0,25,4.793675591040567,27,2,2,exec,0,,0,
2.2.2,2018-03-27 12:30:43,Paul Kehrer,patch,5486,12,100,0,25,4.793675591040567,27,2,2,exec,0,,0,
