Tag,Date,Commit_Author,Type,#LoC,#Files,Delta_#LoC,Delta_#Files,Function_Count,Delta_Function_Count,Async_Function_Count,Delta_Async_Function_Count,Class_Count,Delta_Class_Count,Python_Entropy,Delta_Python_Entropy,Total_Entropy,Delta_Total_Entropy,Dependencies_Count,SAST_findings_count,SAST_findings_high,SAST_findings_medium,SAST_findings_low
0.1,2014-01-08 15:02:56,Alex Gaynor,initial,1330,12,1330,12,44,44,0,0,12,12,5.059861212541047,5.059861212541047,5.1629014429618385,5.1629014429618385,18,1,1,0,0
0.2,2014-02-20 13:22:51,Paul Kehrer,minor,2105,12,775,0,53,9,0,0,14,2,4.8779463173717446,-0.18191489516930215,5.060463972623736,-0.1024374703381028,20,1,1,0,0
0.2.1,2014-02-22 12:55:41,Alex Gaynor,patch,2105,12,0,0,53,0,0,0,14,0,4.877991638385413,4.532101366816477e-05,5.0614112446361075,0.0009472720123717693,20,1,1,0,0
0.2.2,2014-03-03 15:16:51,Alex Gaynor,patch,2105,12,0,0,53,0,0,0,14,0,4.877992838890351,1.200504938125846e-06,5.0622629729944775,0.0008517283583699964,20,1,1,0,0
0.3,2014-03-27 13:01:26,Alex Gaynor,minor,2965,13,860,1,67,14,0,0,17,3,4.934806065835409,0.056813226945058304,5.095026543704142,0.03276357070966451,23,2,2,0,0
0.4,2014-05-03 15:13:41,Alex Stapleton,minor,4200,13,1235,0,77,10,0,0,18,1,4.863113870926468,-0.07169219490894108,5.034397082618485,-0.060629461085657255,25,2,2,0,0
0.5,2014-07-07 10:47:32,David Reid,minor,4201,13,1,0,77,0,0,0,18,0,4.865876396171473,0.0027625252450045323,5.05006908379433,0.01567200117584555,25,2,2,0,0
0.5.1,2014-07-07 20:00:10,Alex Gaynor,patch,4202,13,1,0,77,0,0,0,18,0,4.866632895338549,0.0007564991670765409,5.050568433713234,0.0004993499189041017,25,2,2,0,0
0.5.2,2014-07-09 17:50:02,Alex Gaynor,patch,4202,13,0,0,77,0,0,0,18,0,4.866633828989091,9.336505417678609e-07,5.050569234840579,8.011273449071155e-07,25,2,2,0,0
0.5.3,2014-08-07 00:07:46,Alex Gaynor,patch,4202,13,0,0,77,0,0,0,18,0,4.866633931433414,1.0244432324668651e-07,5.0506466704475494,7.743560697015539e-05,25,2,2,0,0
0.5.4,2014-08-20 20:26:03,Alex Gaynor,patch,4202,13,0,0,77,0,0,0,18,0,4.8666340730392745,1.4160586037093026e-07,5.050768963648776,0.0001222932012261424,25,2,2,0,0
0.6,2014-09-29 19:17:41,Alex Gaynor,minor,4716,13,514,0,79,2,0,0,18,0,4.841770482547786,-0.024863590491488452,5.025180819702951,-0.02558814394582498,25,2,2,0,0
0.6.1,2014-10-15 19:30:57,Alex Gaynor,patch,4716,13,0,0,79,0,0,0,18,0,4.84178578250271,1.529995492433045e-05,5.0303499514039896,0.005169131701038943,25,2,2,0,0
0.7,2014-12-17 19:25:38,Alex Gaynor,minor,4620,10,-96,-3,97,18,0,0,16,-2,4.780306705502483,-0.06147907700022781,5.024870227937995,-0.005479723465994901,25,2,2,0,0
0.7.1,2014-12-28 16:51:42,Alex Gaynor,patch,4620,10,0,0,97,0,0,0,16,0,4.780306705502483,0.0,5.024870227937995,0.0,25,2,2,0,0
0.7.2,2015-01-16 09:14:08,Alex Gaynor,patch,4620,10,0,0,97,0,0,0,16,0,4.780306705502483,0.0,5.024870227937995,0.0,25,2,2,0,0
0.8,2015-03-09 00:29:22,Alex Gaynor,minor,4926,11,306,1,113,16,0,0,20,4,4.829270526865536,0.04896382136305366,5.058342625429654,0.033472397491659756,27,2,2,0,0
0.8.1,2015-03-20 15:21:52,Alex Stapleton,patch,4926,11,0,0,113,0,0,0,20,0,4.829270526865536,0.0,5.058342625429654,0.0,27,2,2,0,0
0.8.2,2015-04-10 21:45:29,Alex Gaynor,patch,4926,11,0,0,113,0,0,0,20,0,4.829270526865536,0.0,5.058342625429654,0.0,27,2,2,0,0
0.9,2015-05-13 21:30:25,Alex Gaynor,minor,7695,12,2769,1,272,159,0,0,49,29,4.885409607518444,0.0561390806529074,5.056966900778991,-0.0013757246506633791,28,2,2,0,0
0.9.1,2015-06-06 17:20:32,Alex Gaynor,patch,7695,12,0,0,272,0,0,0,49,0,4.885409607518444,0.0,5.056966900778991,0.0,28,2,2,0,0
0.9.2,2015-07-03 18:44:05,Alex Gaynor,patch,7695,12,0,0,272,0,0,0,49,0,4.885409607518444,0.0,5.056966900778991,0.0,28,2,2,0,0
0.9.3,2015-07-09 10:40:48,Alex Gaynor,patch,7695,12,0,0,272,0,0,0,49,0,4.885409607518444,0.0,5.056966900778991,0.0,28,2,2,0,0
1.0,2015-08-12 09:30:55,Alex Gaynor,major,10331,12,2636,0,413,141,0,0,66,17,4.917735131818789,0.03232552430034552,4.99895144796806,-0.05801545281093112,28,2,2,0,0
1.0.1,2015-09-05 20:12:10,Alex Gaynor,patch,10331,12,0,0,413,0,0,0,66,0,4.917735131818789,0.0,5.000049533532417,0.0010980855643571985,28,2,2,0,0
1.0.2,2015-09-27 08:41:09,Alex Gaynor,patch,10331,12,0,0,413,0,0,0,66,0,4.917735131818789,0.0,5.000126249977292,7.671644487494689e-05,28,2,2,0,0
1.1,2015-10-28 18:15:23,Alex Gaynor,minor,10982,12,651,0,442,29,0,0,69,3,4.916473968696921,-0.0012611631218684138,4.999606642513848,-0.0005196074634437053,31,2,2,0,0
1.1.1,2015-11-18 22:39:23,Alex Gaynor,patch,10982,12,0,0,442,0,0,0,69,0,4.916473968696921,0.0,4.999606642513848,0.0,31,2,2,0,0
1.1.2,2015-12-10 14:47:44,Alex Gaynor,patch,10982,12,0,0,442,0,0,0,69,0,4.916473968696921,0.0,4.999613959179099,7.316665250556298e-06,31,2,2,0,0
1.2,2016-01-08 10:24:13,Alex Gaynor,minor,12524,14,1542,2,549,107,0,0,78,9,4.919240373484752,0.0027664047878310782,4.996174345714593,-0.0034396134645060528,31,2,2,0,0
1.2.1,2016-01-08 15:57:39,Alex Gaynor,patch,12524,14,0,0,549,0,0,0,78,0,4.919240373484752,0.0,4.996174345714593,0.0,31,2,2,0,0
1.2.2,2016-01-29 14:20:27,Alex Gaynor,patch,12524,14,0,0,549,0,0,0,78,0,4.919240373484752,0.0,4.996174345714593,0.0,31,2,2,0,0
1.2.3,2016-03-01 21:02:30,Alex Gaynor,patch,12524,14,0,0,549,0,0,0,78,0,4.919240373484752,0.0,4.996174345714593,0.0,31,2,2,0,0
1.3,2016-03-18 09:08:02,Alex Gaynor,minor,12704,15,180,1,567,18,0,0,85,7,4.918288379609482,-0.0009519938752697854,4.99828954318403,0.0021151974694371134,31,2,2,0,0
1.3.1,2016-03-21 14:55:31,Alex Gaynor,patch,12745,15,41,0,568,1,0,0,85,0,4.917956849636763,-0.00033152997271912454,4.997671228026838,-0.0006183151571921286,31,2,2,0,0
1.3.2,2016-05-04 11:56:59,Paul Kehrer,patch,12745,15,0,0,568,0,0,0,85,0,4.917956849636763,0.0,4.997671228026838,0.0,31,2,2,0,0
1.3.3,2016-06-02 14:42:13,Paul Kehrer,patch,12745,15,0,0,568,0,0,0,85,0,4.917956849636763,0.0,4.9980081033129204,0.0003368752860826163,31,2,2,0,0
1.3.4,2016-06-02 19:37:55,Paul Kehrer,patch,12745,15,0,0,568,0,0,0,85,0,4.917956849636763,0.0,4.9980081033129204,0.0,31,2,2,0,0
1.4,2016-06-04 09:57:11,Paul Kehrer,minor,12905,15,160,0,573,5,0,0,85,0,4.921010252286917,0.003053402650153636,5.006373079473142,0.00836497616022136,31,2,2,0,0
1.5,2016-08-26 10:59:49,Paul Kehrer,minor,13223,15,318,0,599,26,0,0,85,0,4.923044589013218,0.002034336726301156,5.005723342151619,-0.0006497373215230695,32,2,2,0,0
1.5.1,2016-09-22 15:52:14,Paul Kehrer,patch,13223,15,0,0,599,0,0,0,85,0,4.923044589013218,0.0,5.005723342151619,0.0,32,2,2,0,0
1.5.2,2016-09-26 16:22:03,Paul Kehrer,patch,13223,15,0,0,599,0,0,0,85,0,4.923044589013218,0.0,5.005723342151619,0.0,32,2,2,0,0
1.5.3,2016-11-05 23:56:41,Paul Kehrer,patch,13223,15,0,0,599,0,0,0,85,0,4.923044589013218,0.0,5.005723342151619,0.0,32,2,2,0,0
1.6,2016-11-21 21:50:28,Paul Kehrer,minor,13419,15,196,0,616,17,0,0,90,5,4.9245841581906715,0.0015395691774537923,5.00538094565705,-0.00034239649456857535,32,2,2,0,0
